accuracy,epoch,loss,step,train_accuracy_epoch,validation_accuracy
0.4375,0,1.516349196434021,8899,,
0.3125,0,1.6332236528396606,8949,,
0.28125,0,1.653875708580017,8999,,
0.375,0,1.4634299278259277,9049,,
0.28125,0,1.5917351245880127,9099,,
,0,,9117,,0.3400590121746063
,0,,9117,0.3365221619606018,
0.3125,1,1.6074390411376953,9149,,
0.3125,1,1.5266958475112915,9199,,
0.34375,1,1.6896069049835205,9249,,
0.34375,1,1.5193392038345337,9299,,
0.25,1,1.6018446683883667,9349,,
0.28125,1,1.6634620428085327,9399,,
0.1875,1,1.6022006273269653,9449,,
0.375,1,1.566914439201355,9499,,
0.25,1,1.4759832620620728,9549,,
0.28125,1,1.8433246612548828,9599,,
0.3125,1,1.6062099933624268,9649,,
0.40625,1,1.495625376701355,9699,,
0.40625,1,1.5599254369735718,9749,,
0.21875,1,1.5524253845214844,9799,,
0.25,1,1.4904429912567139,9849,,
0.34375,1,1.3873860836029053,9899,,
0.375,1,1.5806047916412354,9949,,
0.4375,1,1.439156413078308,9999,,
0.3125,1,1.5990729331970215,10049,,
0.53125,1,1.5519884824752808,10099,,
0.28125,1,1.8098804950714111,10149,,
0.375,1,1.6845425367355347,10199,,
0.375,1,1.4794542789459229,10249,,
0.25,1,1.6536638736724854,10299,,
0.25,1,1.5161656141281128,10349,,
0.40625,1,1.6393399238586426,10399,,
0.28125,1,1.649776577949524,10449,,
0.28125,1,1.5945769548416138,10499,,
0.375,1,1.438172459602356,10549,,
0.25,1,1.8025633096694946,10599,,
0.375,1,1.575629472732544,10649,,
0.34375,1,1.6305420398712158,10699,,
0.53125,1,1.415901780128479,10749,,
0.375,1,1.5409348011016846,10799,,
0.40625,1,1.6552751064300537,10849,,
0.25,1,1.6648876667022705,10899,,
0.25,1,1.6664270162582397,10949,,
0.21875,1,1.5946670770645142,10999,,
0.3125,1,1.5743792057037354,11049,,
0.34375,1,1.529166340827942,11099,,
0.375,1,1.5061261653900146,11149,,
0.28125,1,1.6443368196487427,11199,,
0.34375,1,1.6100645065307617,11249,,
0.4375,1,1.4460760354995728,11299,,
0.3125,1,1.5865458250045776,11349,,
0.3125,1,1.6059952974319458,11399,,
0.34375,1,1.4592342376708984,11449,,
0.1875,1,1.5325311422348022,11499,,
0.28125,1,1.5987460613250732,11549,,
0.40625,1,1.5121283531188965,11599,,
0.4375,1,1.4778776168823242,11649,,
0.5,1,1.5400950908660889,11699,,
0.34375,1,1.73713219165802,11749,,
0.15625,1,1.7612565755844116,11799,,
0.40625,1,1.5249210596084595,11849,,
0.4375,1,1.546735405921936,11899,,
0.375,1,1.6358203887939453,11949,,
0.4375,1,1.6240178346633911,11999,,
0.34375,1,1.5020256042480469,12049,,
0.46875,1,1.590595006942749,12099,,
0.34375,1,1.4099373817443848,12149,,
0.25,1,1.6366459131240845,12199,,
0.21875,1,1.7628943920135498,12249,,
0.4375,1,1.4733161926269531,12299,,
0.46875,1,1.6147526502609253,12349,,
0.1875,1,1.6313060522079468,12399,,
0.4375,1,1.608341932296753,12449,,
0.21875,1,1.5793098211288452,12499,,
0.375,1,1.5830035209655762,12549,,
0.3125,1,1.4641515016555786,12599,,
0.34375,1,1.6870238780975342,12649,,
0.34375,1,1.58533775806427,12699,,
0.4375,1,1.5176602602005005,12749,,
0.3125,1,1.5282223224639893,12799,,
0.34375,1,1.5567909479141235,12849,,
0.28125,1,1.64802086353302,12899,,
0.375,1,1.6493077278137207,12949,,
0.34375,1,1.5808591842651367,12999,,
0.34375,1,1.595281720161438,13049,,
0.34375,1,1.603511929512024,13099,,
0.34375,1,1.6754719018936157,13149,,
0.4375,1,1.6265522241592407,13199,,
0.34375,1,1.4796408414840698,13249,,
0.40625,1,1.4101340770721436,13299,,
0.3125,1,1.6235884428024292,13349,,
0.1875,1,1.5657553672790527,13399,,
0.40625,1,1.5501630306243896,13449,,
0.34375,1,1.66041100025177,13499,,
0.34375,1,1.7085753679275513,13549,,
0.34375,1,1.4629744291305542,13599,,
0.375,1,1.5372076034545898,13649,,
0.34375,1,1.542557716369629,13699,,
0.375,1,1.5170525312423706,13749,,
0.1875,1,1.9345743656158447,13799,,
0.3125,1,1.6617166996002197,13849,,
0.4375,1,1.5802103281021118,13899,,
0.34375,1,1.6384234428405762,13949,,
0.40625,1,1.3211814165115356,13999,,
0.375,1,1.553999900817871,14049,,
0.34375,1,1.4245365858078003,14099,,
0.15625,1,1.6981977224349976,14149,,
0.28125,1,1.6274068355560303,14199,,
0.125,1,1.980271339416504,14249,,
0.3125,1,1.6561405658721924,14299,,
0.40625,1,1.5391604900360107,14349,,
0.3125,1,1.4745190143585205,14399,,
0.375,1,1.4645329713821411,14449,,
0.40625,1,1.533585548400879,14499,,
0.28125,1,1.6685125827789307,14549,,
0.3125,1,1.5633913278579712,14599,,
0.25,1,1.632063865661621,14649,,
0.375,1,1.5154485702514648,14699,,
0.4375,1,1.6119648218154907,14749,,
0.34375,1,1.5625014305114746,14799,,
0.34375,1,1.5276974439620972,14849,,
0.3125,1,1.523242473602295,14899,,
0.21875,1,1.7057998180389404,14949,,
0.34375,1,1.474755048751831,14999,,
0.40625,1,1.6329327821731567,15049,,
0.21875,1,1.5085994005203247,15099,,
0.3125,1,1.5377955436706543,15149,,
0.25,1,1.6825445890426636,15199,,
0.21875,1,1.5734275579452515,15249,,
0.28125,1,1.6713035106658936,15299,,
0.34375,1,1.4717497825622559,15349,,
0.28125,1,1.657018780708313,15399,,
0.25,1,1.5461660623550415,15449,,
0.34375,1,1.6273210048675537,15499,,
0.3125,1,1.6805765628814697,15549,,
0.34375,1,1.641561508178711,15599,,
0.28125,1,1.634045124053955,15649,,
0.4375,1,1.5538082122802734,15699,,
0.40625,1,1.403674602508545,15749,,
0.1875,1,1.9111510515213013,15799,,
0.34375,1,1.4548776149749756,15849,,
